Variable,Coef,SE,t,p
Constant,49.35952056457941,1.1449636455696126,43.11012035672394,0.0
frac_vegetation_2024,71.26252242898128,1.2101926183997265,58.88527276196233,0.0
frac_water_2024,64.32081497749778,1.7748305644655615,36.24053826054439,4.3404897677532475e-281
frac_cropland_2024,17.515958424387104,1.293106043332318,13.545647330862904,1.137417886644113e-41
population_2024,-0.018570237349492123,0.00023327634310345313,-79.60617481583469,0.0
