Scenario,Mean Improvement,Max Improvement,Pop Improved,% Cells Improved
A: Minimal,0.06768736192860175,2.6442551264017844,127408,0.12487066966356275
B: Moderate,1.6425639445236793,25.130832021296367,793442,0.7527917514003354
C: Ambitious,2.629483683471854,36.888151572807715,4187516,3.7996360911912666
